,id,url,title,year,genre,certificate,runtime,imdb_rating,metascore
157,tt1502712,/title/tt1502712/,Fantastic Four,2015,"['Action', ' Adventure', ' Sci-Fi']",PG-13,100,43.0,
158,tt1074638,/title/tt1074638/,Skyfall,2012,"['Action', ' Adventure', ' Thriller']",PG-13,143,78.0,
159,t11525644,/title/tt11525644/,No Sudden Move,2021,"['Crime', ' Drama', ' Mystery']",R,115,64.0,
160,tt9620288,/title/tt9620288/,King Richard,2021,"['Biography', ' Drama', ' Sport']",PG-13,144,75.0,
161,tt5727208,/title/tt5727208/,Uncut Gems,2019,"['Crime', ' Drama', ' Thriller']",R,135,74.0,
162,tt1798709,/title/tt1798709/,Her,2013,"['Drama', ' Romance', ' Sci-Fi']",R,126,80.0,
163,tt2911666,/title/tt2911666/,John Wick,2014,"['Action', ' Crime', ' Thriller']",R,101,74.0,
164,tt7713068,/title/tt7713068/,Birds of Prey,2020,"['Action', ' Adventure', ' Comedy']",R,109,60.0,60.0
165,tt3896198,/title/tt3896198/,Guardians of the Galaxy Vol. 2,2017,"['Action', ' Adventure', ' Comedy']",PG-13,136,76.0,
166,tt1201607,/title/tt1201607/,Harry Potter and the Deathly Hallows: Part 2,2011,"['Adventure', ' Fantasy', ' Mystery']",PG-13,130,81.0,
167,tt9179096,/title/tt9179096/,Minamata,2020,['Drama'],R,115,73.0,55.0
168,tt2404435,/title/tt2404435/,The Magnificent Seven,2016,"['Action', ' Adventure', ' Western']",PG-13,132,68.0,54.0
169,tt3778644,/title/tt3778644/,Solo: A Star Wars Story,2018,"['Action', ' Adventure', ' Sci-Fi']",PG-13,135,69.0,
170,tt7959026,/title/tt7959026/,The Mule,2018,"['Crime', ' Drama', ' Thriller']",R,116,70.0,58.0
171,tt3228774,/title/tt3228774/,Cruella,2021,"['Adventure', ' Comedy', ' Crime']",PG-13,134,73.0,59.0
172,tt1726669,/title/tt1726669/,Killer Joe,2011,"['Drama', ' Thriller']",R,102,67.0,
173,tt3890160,/title/tt3890160/,Baby Driver,2017,"['Action', ' Crime', ' Drama']",R,113,76.0,
174,tt2002718,/title/tt2002718/,Machete Kills,2013,"['Action', ' Crime', ' Thriller']",R,107,56.0,41.0
175,tt0947798,/title/tt0947798/,Black Swan,2010,"['Drama', ' Thriller']",R,108,80.0,
176,tt3521164,/title/tt3521164/,Moana,2016,"['Animation', ' Adventure', ' Comedy']",PG,107,76.0,
177,tt9243946,/title/tt9243946/,El Camino: A Breaking Bad Movie,2019,"['Action', ' Crime', ' Drama']",TV-MA,122,73.0,
178,tt1596363,/title/tt1596363/,The Big Short,2015,"['Biography', ' Comedy', ' Drama']",R,130,78.0,
179,tt5034838,/title/tt5034838/,Godzilla vs. Kong,2021,"['Action', ' Sci-Fi', ' Thriller']",PG-13,113,63.0,59.0
180,t11003218,/title/tt11003218/,Pig,2021,"['Drama', ' Mystery', ' Thriller']",R,92,69.0,
181,tt7798634,/title/tt7798634/,Ready or Not,2019,"['Action', ' Comedy', ' Horror']",R,95,68.0,
182,tt2488496,/title/tt2488496/,Star Wars: Episode VII - The Force Awakens,2015,"['Action', ' Adventure', ' Sci-Fi']",PG-13,138,78.0,
183,tt6320628,/title/tt6320628/,Spider-Man: Far from Home,2019,"['Action', ' Adventure', ' Sci-Fi']",PG-13,129,74.0,
184,tt1446714,/title/tt1446714/,Prometheus,2012,"['Adventure', ' Mystery', ' Sci-Fi']",R,124,70.0,
185,tt1321511,/title/tt1321511/,Oldboy,2013,"['Action', ' Drama', ' Mystery']",R,104,57.0,49.0
186,tt2677722,/title/tt2677722/,City of Lies,2018,"['Biography', ' Crime', ' Drama']",R,112,64.0,44.0
187,tt9100054,/title/tt9100054/,The Lost Daughter,2021,['Drama'],R,121,67.0,
188,tt5362988,/title/tt5362988/,Wind River,2017,"['Crime', ' Drama', ' Mystery']",R,107,77.0,
189,tt9777666,/title/tt9777666/,The Tomorrow War,2021,"['Action', ' Adventure', ' Drama']",PG-13,138,65.0,45.0
190,tt1637688,/title/tt1637688/,In Time,2011,"['Action', ' Sci-Fi', ' Thriller']",PG-13,109,67.0,53.0
191,tt1285016,/title/tt1285016/,The Social Network,2010,"['Biography', ' Drama']",PG-13,120,78.0,
192,tt7653254,/title/tt7653254/,Marriage Story,2019,"['Drama', ' Romance']",R,137,79.0,
193,tt1727824,/title/tt1727824/,Bohemian Rhapsody,2018,"['Biography', ' Drama', ' Music']",PG-13,134,79.0,49.0
194,tt1014759,/title/tt1014759/,Alice in Wonderland,2010,"['Adventure', ' Family', ' Fantasy']",PG,108,64.0,53.0
195,tt6772950,/title/tt6772950/,Truth or Dare,2018,"['Horror', ' Thriller']",PG-13,100,52.0,
196,tt2872718,/title/tt2872718/,Nightcrawler,2014,"['Crime', ' Drama', ' Thriller']",R,117,78.0,
197,tt3532216,/title/tt3532216/,American Made,2017,"['Action', ' Comedy', ' Crime']",R,115,71.0,
198,tt1288558,/title/tt1288558/,Evil Dead,2013,['Horror'],R,91,65.0,57.0
199,tt5164214,/title/tt5164214/,Ocean's Eight,2018,"['Action', ' Comedy', ' Crime']",PG-13,110,63.0,
200,tt2452150,/title/tt2452150/,Respect,2021,"['Biography', ' Drama', ' Music']",PG-13,145,65.0,
201,tt3498820,/title/tt3498820/,Captain America: Civil War,2016,"['Action', ' Adventure', ' Sci-Fi']",PG-13,147,78.0,
202,tt0870154,/title/tt0870154/,Jungle Cruise,2021,"['Action', ' Adventure', ' Comedy']",PG-13,127,66.0,50.0
203,tt1655441,/title/tt1655441/,The Age of Adaline,2015,"['Drama', ' Fantasy', ' Romance']",PG-13,112,72.0,51.0
204,tt3385516,/title/tt3385516/,X-Men: Apocalypse,2016,"['Action', ' Adventure', ' Sci-Fi']",PG-13,144,69.0,52.0
205,tt3829920,/title/tt3829920/,Only the Brave,2017,"['Action', ' Biography', ' Drama']",PG-13,134,76.0,
206,tt1937390,/title/tt1937390/,Nymphomaniac: Vol. I,2013,['Drama'],Not Rated,117,69.0,
207,tt6644200,/title/tt6644200/,A Quiet Place,2018,"['Drama', ' Horror', ' Sci-Fi']",PG-13,90,75.0,
